home_team,away_team,home_team_goals,away_team_goals,winner,loser,venue,league,year,date
Stoke,Hull,3,1,Stoke,Hull,"bet365 Stadium, Stoke",1,2016/17,2017-04-15
Sunderland,West Ham,2,2,draw,draw,"Stadium of Light, Sunderland",1,2016/17,2017-04-15
Watford,Swansea,1,0,Watford,Swansea,"Vicarage Road, Watford",1,2016/17,2017-04-15
Southampton,Man City,0,3,Man City,Southampton,"St. Mary's Stadium, Southampton",1,2016/17,2017-04-15
Crystal Palace,Arsenal,3,0,Crystal Palace,Arsenal,"Selhurst Park, London",1,2016/17,2017-04-10
Sunderland,Man Utd,0,3,Man Utd,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2017-04-09
Everton,Leicester,4,2,Everton,Leicester,"Goodison Park, Liverpool",1,2016/17,2017-04-09
Spurs,Watford,4,0,Spurs,Watford,"White Hart Lane, London",1,2016/17,2017-04-08
Man City,Hull,3,1,Man City,Hull,"Etihad Stadium, Manchester",1,2016/17,2017-04-08
Middlesbrough,Burnley,0,0,draw,draw,"Riverside Stadium, Middlesbrough",1,2016/17,2017-04-08
Stoke,Liverpool,1,2,Liverpool,Stoke,"bet365 Stadium, Stoke",1,2016/17,2017-04-08
West Brom,Southampton,0,1,Southampton,West Brom,"The Hawthorns, West Bromwich",1,2016/17,2017-04-08
West Ham,Swansea,1,0,West Ham,Swansea,"London Stadium, London",1,2016/17,2017-04-08
Bournemouth,Chelsea,1,3,Chelsea,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2017-04-08
Arsenal,West Ham,3,0,Arsenal,West Ham,"Emirates Stadium, London",1,2016/17,2017-04-05
Chelsea,Man City,2,1,Chelsea,Man City,"Stamford Bridge, London",1,2016/17,2017-04-05
Liverpool,Bournemouth,2,2,draw,draw,"Anfield, Liverpool",1,2016/17,2017-04-05
Hull,Middlesbrough,4,2,Hull,Middlesbrough,"MKM Stadium, Hull",1,2016/17,2017-04-05
Southampton,Crystal Palace,3,1,Southampton,Crystal Palace,"St. Mary's Stadium, Southampton",1,2016/17,2017-04-05
Swansea,Spurs,1,3,Spurs,Swansea,"Liberty Stadium, Swansea",1,2016/17,2017-04-05
Burnley,Stoke,1,0,Burnley,Stoke,"Turf Moor, Burnley",1,2016/17,2017-04-04
Leicester,Sunderland,2,0,Leicester,Sunderland,"King Power Stadium, Leicester",1,2016/17,2017-04-04
Watford,West Brom,2,0,Watford,West Brom,"Vicarage Road, Watford",1,2016/17,2017-04-04
Man Utd,Everton,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2017-04-04
Swansea,Middlesbrough,0,0,draw,draw,"Liberty Stadium, Swansea",1,2016/17,2017-04-02
Arsenal,Man City,2,2,draw,draw,"Emirates Stadium, London",1,2016/17,2017-04-02
Liverpool,Everton,3,1,Liverpool,Everton,"Anfield, Liverpool",1,2016/17,2017-04-01
Burnley,Spurs,0,2,Spurs,Burnley,"Turf Moor, Burnley",1,2016/17,2017-04-01
Chelsea,Crystal Palace,1,2,Crystal Palace,Chelsea,"Stamford Bridge, London",1,2016/17,2017-04-01
Hull,West Ham,2,1,Hull,West Ham,"MKM Stadium, Hull",1,2016/17,2017-04-01
Leicester,Stoke,2,0,Leicester,Stoke,"King Power Stadium, Leicester",1,2016/17,2017-04-01
Man Utd,West Brom,0,0,draw,draw,"Old Trafford, Manchester",1,2016/17,2017-04-01
Watford,Sunderland,1,0,Watford,Sunderland,"Vicarage Road, Watford",1,2016/17,2017-04-01
Southampton,Bournemouth,0,0,draw,draw,"St. Mary's Stadium, Southampton",1,2016/17,2017-04-01
Middlesbrough,Man Utd,1,3,Man Utd,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2017-03-19
Spurs,Southampton,2,1,Spurs,Southampton,"White Hart Lane, London",1,2016/17,2017-03-19
Man City,Liverpool,1,1,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2017-03-19
West Brom,Arsenal,3,1,West Brom,Arsenal,"The Hawthorns, West Bromwich",1,2016/17,2017-03-18
Crystal Palace,Watford,1,0,Crystal Palace,Watford,"Selhurst Park, London",1,2016/17,2017-03-18
Everton,Hull,4,0,Everton,Hull,"Goodison Park, Liverpool",1,2016/17,2017-03-18
Stoke,Chelsea,1,2,Chelsea,Stoke,"bet365 Stadium, Stoke",1,2016/17,2017-03-18
Sunderland,Burnley,0,0,draw,draw,"Stadium of Light, Sunderland",1,2016/17,2017-03-18
West Ham,Leicester,2,3,Leicester,West Ham,"London Stadium, London",1,2016/17,2017-03-18
Bournemouth,Swansea,2,0,Bournemouth,Swansea,"Vitality Stadium, Bournemouth",1,2016/17,2017-03-18
Liverpool,Burnley,2,1,Liverpool,Burnley,"Anfield, Liverpool",1,2016/17,2017-03-12
Bournemouth,West Ham,3,2,Bournemouth,West Ham,"Vitality Stadium, Bournemouth",1,2016/17,2017-03-11
Everton,West Brom,3,0,Everton,West Brom,"Goodison Park, Liverpool",1,2016/17,2017-03-11
Hull,Swansea,2,1,Hull,Swansea,"MKM Stadium, Hull",1,2016/17,2017-03-11
Man City,Stoke,0,0,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2017-03-08
West Ham,Chelsea,1,2,Chelsea,West Ham,"London Stadium, London",1,2016/17,2017-03-06
Spurs,Everton,3,2,Spurs,Everton,"White Hart Lane, London",1,2016/17,2017-03-05
Sunderland,Man City,0,2,Man City,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2017-03-05
Leicester,Hull,3,1,Leicester,Hull,"King Power Stadium, Leicester",1,2016/17,2017-03-04
Stoke,Middlesbrough,2,0,Stoke,Middlesbrough,"bet365 Stadium, Stoke",1,2016/17,2017-03-04
Swansea,Burnley,3,2,Swansea,Burnley,"Liberty Stadium, Swansea",1,2016/17,2017-03-04
Watford,Southampton,3,4,Southampton,Watford,"Vicarage Road, Watford",1,2016/17,2017-03-04
Liverpool,Arsenal,3,1,Liverpool,Arsenal,"Anfield, Liverpool",1,2016/17,2017-03-04
Man Utd,Bournemouth,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2017-03-04
West Brom,Crystal Palace,0,2,Crystal Palace,West Brom,"The Hawthorns, West Bromwich",1,2016/17,2017-03-04
Leicester,Liverpool,3,1,Leicester,Liverpool,"King Power Stadium, Leicester",1,2016/17,2017-02-27
Spurs,Stoke,4,0,Spurs,Stoke,"White Hart Lane, London",1,2016/17,2017-02-26
Chelsea,Swansea,3,1,Chelsea,Swansea,"Stamford Bridge, London",1,2016/17,2017-02-25
Crystal Palace,Middlesbrough,1,0,Crystal Palace,Middlesbrough,"Selhurst Park, London",1,2016/17,2017-02-25
Everton,Sunderland,2,0,Everton,Sunderland,"Goodison Park, Liverpool",1,2016/17,2017-02-25
Hull,Burnley,1,1,draw,draw,"MKM Stadium, Hull",1,2016/17,2017-02-25
West Brom,Bournemouth,2,1,West Brom,Bournemouth,"The Hawthorns, West Bromwich",1,2016/17,2017-02-25
Watford,West Ham,1,1,draw,draw,"Vicarage Road, Watford",1,2016/17,2017-02-25
Bournemouth,Man City,0,2,Man City,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2017-02-13
Burnley,Chelsea,1,1,draw,draw,"Turf Moor, Burnley",1,2016/17,2017-02-12
Swansea,Leicester,2,0,Swansea,Leicester,"Liberty Stadium, Swansea",1,2016/17,2017-02-12
Arsenal,Hull,2,0,Arsenal,Hull,"Emirates Stadium, London",1,2016/17,2017-02-11
Man Utd,Watford,2,0,Man Utd,Watford,"Old Trafford, Manchester",1,2016/17,2017-02-11
Middlesbrough,Everton,0,0,draw,draw,"Riverside Stadium, Middlesbrough",1,2016/17,2017-02-11
Stoke,Crystal Palace,1,0,Stoke,Crystal Palace,"bet365 Stadium, Stoke",1,2016/17,2017-02-11
Sunderland,Southampton,0,4,Southampton,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2017-02-11
West Ham,West Brom,2,2,draw,draw,"London Stadium, London",1,2016/17,2017-02-11
Liverpool,Spurs,2,0,Liverpool,Spurs,"Anfield, Liverpool",1,2016/17,2017-02-11
Man City,Swansea,2,1,Man City,Swansea,"Etihad Stadium, Manchester",1,2016/17,2017-02-05
Leicester,Man Utd,0,3,Man Utd,Leicester,"King Power Stadium, Leicester",1,2016/17,2017-02-05
Chelsea,Arsenal,3,1,Chelsea,Arsenal,"Stamford Bridge, London",1,2016/17,2017-02-04
Crystal Palace,Sunderland,0,4,Sunderland,Crystal Palace,"Selhurst Park, London",1,2016/17,2017-02-04
Everton,Bournemouth,6,3,Everton,Bournemouth,"Goodison Park, Liverpool",1,2016/17,2017-02-04
Hull,Liverpool,2,0,Hull,Liverpool,"MKM Stadium, Hull",1,2016/17,2017-02-04
Southampton,West Ham,1,3,West Ham,Southampton,"St. Mary's Stadium, Southampton",1,2016/17,2017-02-04
Watford,Burnley,2,1,Watford,Burnley,"Vicarage Road, Watford",1,2016/17,2017-02-04
West Brom,Stoke,1,0,West Brom,Stoke,"The Hawthorns, West Bromwich",1,2016/17,2017-02-04
Spurs,Middlesbrough,1,0,Spurs,Middlesbrough,"White Hart Lane, London",1,2016/17,2017-02-04
West Ham,Man City,0,4,Man City,West Ham,"London Stadium, London",1,2016/17,2017-02-01
Man Utd,Hull,0,0,draw,draw,"Old Trafford, Manchester",1,2016/17,2017-02-01
Stoke,Everton,1,1,draw,draw,"bet365 Stadium, Stoke",1,2016/17,2017-02-01
Arsenal,Watford,1,2,Watford,Arsenal,"Emirates Stadium, London",1,2016/17,2017-01-31
Bournemouth,Crystal Palace,0,2,Crystal Palace,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2017-01-31
Burnley,Leicester,1,0,Burnley,Leicester,"Turf Moor, Burnley",1,2016/17,2017-01-31
Middlesbrough,West Brom,1,1,draw,draw,"Riverside Stadium, Middlesbrough",1,2016/17,2017-01-31
Sunderland,Spurs,0,0,draw,draw,"Stadium of Light, Sunderland",1,2016/17,2017-01-31
Swansea,Southampton,2,1,Swansea,Southampton,"Liberty Stadium, Swansea",1,2016/17,2017-01-31
Liverpool,Chelsea,1,1,draw,draw,"Anfield, Liverpool",1,2016/17,2017-01-31
Southampton,Leicester,3,0,Southampton,Leicester,"St. Mary's Stadium, Southampton",1,2016/17,2017-01-22
Arsenal,Burnley,2,1,Arsenal,Burnley,"Emirates Stadium, London",1,2016/17,2017-01-22
Chelsea,Hull,2,0,Chelsea,Hull,"Stamford Bridge, London",1,2016/17,2017-01-22
Liverpool,Swansea,2,3,Swansea,Liverpool,"Anfield, Liverpool",1,2016/17,2017-01-21
Bournemouth,Watford,2,2,draw,draw,"Vitality Stadium, Bournemouth",1,2016/17,2017-01-21
Crystal Palace,Everton,0,1,Everton,Crystal Palace,"Selhurst Park, London",1,2016/17,2017-01-21
Middlesbrough,West Ham,1,3,West Ham,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2017-01-21
Stoke,Man Utd,1,1,draw,draw,"bet365 Stadium, Stoke",1,2016/17,2017-01-21
West Brom,Sunderland,2,0,West Brom,Sunderland,"The Hawthorns, West Bromwich",1,2016/17,2017-01-21
Man City,Spurs,2,2,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2017-01-21
Everton,Man City,4,0,Everton,Man City,"Goodison Park, Liverpool",1,2016/17,2017-01-15
Man Utd,Liverpool,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2017-01-15
Spurs,West Brom,4,0,Spurs,West Brom,"White Hart Lane, London",1,2016/17,2017-01-14
Burnley,Southampton,1,0,Burnley,Southampton,"Turf Moor, Burnley",1,2016/17,2017-01-14
Hull,Bournemouth,3,1,Hull,Bournemouth,"MKM Stadium, Hull",1,2016/17,2017-01-14
Sunderland,Stoke,1,3,Stoke,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2017-01-14
Swansea,Arsenal,0,4,Arsenal,Swansea,"Liberty Stadium, Swansea",1,2016/17,2017-01-14
Watford,Middlesbrough,0,0,draw,draw,"Vicarage Road, Watford",1,2016/17,2017-01-14
West Ham,Crystal Palace,3,0,West Ham,Crystal Palace,"London Stadium, London",1,2016/17,2017-01-14
Leicester,Chelsea,0,3,Chelsea,Leicester,"King Power Stadium, Leicester",1,2016/17,2017-01-14
Spurs,Chelsea,2,0,Spurs,Chelsea,"White Hart Lane, London",1,2016/17,2017-01-04
Bournemouth,Arsenal,3,3,draw,draw,"Vitality Stadium, Bournemouth",1,2016/17,2017-01-03
Crystal Palace,Swansea,1,2,Swansea,Crystal Palace,"Selhurst Park, London",1,2016/17,2017-01-03
Stoke,Watford,2,0,Stoke,Watford,"bet365 Stadium, Stoke",1,2016/17,2017-01-03
Middlesbrough,Leicester,0,0,draw,draw,"Riverside Stadium, Middlesbrough",1,2016/17,2017-01-02
Everton,Southampton,3,0,Everton,Southampton,"Goodison Park, Liverpool",1,2016/17,2017-01-02
Man City,Burnley,2,1,Man City,Burnley,"Etihad Stadium, Manchester",1,2016/17,2017-01-02
Sunderland,Liverpool,2,2,draw,draw,"Stadium of Light, Sunderland",1,2016/17,2017-01-02
West Brom,Hull,3,1,West Brom,Hull,"The Hawthorns, West Bromwich",1,2016/17,2017-01-02
West Ham,Man Utd,0,2,Man Utd,West Ham,"London Stadium, London",1,2016/17,2017-01-02
Watford,Spurs,1,4,Spurs,Watford,"Vicarage Road, Watford",1,2016/17,2017-01-01
Arsenal,Crystal Palace,2,0,Arsenal,Crystal Palace,"Emirates Stadium, London",1,2016/17,2017-01-01
Burnley,Sunderland,4,1,Burnley,Sunderland,"Turf Moor, Burnley",1,2016/17,2016-12-31
Chelsea,Stoke,4,2,Chelsea,Stoke,"Stamford Bridge, London",1,2016/17,2016-12-31
Leicester,West Ham,1,0,Leicester,West Ham,"King Power Stadium, Leicester",1,2016/17,2016-12-31
Man Utd,Middlesbrough,2,1,Man Utd,Middlesbrough,"Old Trafford, Manchester",1,2016/17,2016-12-31
Southampton,West Brom,1,2,West Brom,Southampton,"St. Mary's Stadium, Southampton",1,2016/17,2016-12-31
Swansea,Bournemouth,0,3,Bournemouth,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-12-31
Liverpool,Man City,1,0,Liverpool,Man City,"Anfield, Liverpool",1,2016/17,2016-12-31
Hull,Everton,2,2,draw,draw,"MKM Stadium, Hull",1,2016/17,2016-12-30
Southampton,Spurs,1,4,Spurs,Southampton,"St. Mary's Stadium, Southampton",1,2016/17,2016-12-28
Liverpool,Stoke,4,1,Liverpool,Stoke,"Anfield, Liverpool",1,2016/17,2016-12-27
Watford,Crystal Palace,1,1,draw,draw,"Vicarage Road, Watford",1,2016/17,2016-12-26
Arsenal,West Brom,1,0,Arsenal,West Brom,"Emirates Stadium, London",1,2016/17,2016-12-26
Burnley,Middlesbrough,1,0,Burnley,Middlesbrough,"Turf Moor, Burnley",1,2016/17,2016-12-26
Chelsea,Bournemouth,3,0,Chelsea,Bournemouth,"Stamford Bridge, London",1,2016/17,2016-12-26
Leicester,Everton,0,2,Everton,Leicester,"King Power Stadium, Leicester",1,2016/17,2016-12-26
Man Utd,Sunderland,3,1,Man Utd,Sunderland,"Old Trafford, Manchester",1,2016/17,2016-12-26
Swansea,West Ham,1,4,West Ham,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-12-26
Hull,Man City,0,3,Man City,Hull,"MKM Stadium, Hull",1,2016/17,2016-12-26
Everton,Liverpool,0,1,Liverpool,Everton,"Goodison Park, Liverpool",1,2016/17,2016-12-19
Bournemouth,Southampton,1,3,Southampton,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2016-12-18
Man City,Arsenal,2,1,Man City,Arsenal,"Etihad Stadium, Manchester",1,2016/17,2016-12-18
Spurs,Burnley,2,1,Spurs,Burnley,"White Hart Lane, London",1,2016/17,2016-12-18
Crystal Palace,Chelsea,0,1,Chelsea,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-12-17
Middlesbrough,Swansea,3,0,Middlesbrough,Swansea,"Riverside Stadium, Middlesbrough",1,2016/17,2016-12-17
Stoke,Leicester,2,2,draw,draw,"bet365 Stadium, Stoke",1,2016/17,2016-12-17
Sunderland,Watford,1,0,Sunderland,Watford,"Stadium of Light, Sunderland",1,2016/17,2016-12-17
West Ham,Hull,1,0,West Ham,Hull,"London Stadium, London",1,2016/17,2016-12-17
West Brom,Man Utd,0,2,Man Utd,West Brom,"The Hawthorns, West Bromwich",1,2016/17,2016-12-17
Middlesbrough,Liverpool,0,3,Liverpool,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2016-12-14
Sunderland,Chelsea,0,1,Chelsea,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2016-12-14
West Ham,Burnley,1,0,West Ham,Burnley,"London Stadium, London",1,2016/17,2016-12-14
Crystal Palace,Man Utd,1,2,Man Utd,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-12-14
Man City,Watford,2,0,Man City,Watford,"Etihad Stadium, Manchester",1,2016/17,2016-12-14
Stoke,Southampton,0,0,draw,draw,"bet365 Stadium, Stoke",1,2016/17,2016-12-14
Spurs,Hull,3,0,Spurs,Hull,"White Hart Lane, London",1,2016/17,2016-12-14
West Brom,Swansea,3,1,West Brom,Swansea,"The Hawthorns, West Bromwich",1,2016/17,2016-12-14
Bournemouth,Leicester,1,0,Bournemouth,Leicester,"Vitality Stadium, Bournemouth",1,2016/17,2016-12-13
Everton,Arsenal,2,1,Everton,Arsenal,"Goodison Park, Liverpool",1,2016/17,2016-12-13
Chelsea,West Brom,1,0,Chelsea,West Brom,"Stamford Bridge, London",1,2016/17,2016-12-11
Man Utd,Spurs,1,0,Man Utd,Spurs,"Old Trafford, Manchester",1,2016/17,2016-12-11
Southampton,Middlesbrough,1,0,Southampton,Middlesbrough,"St. Mary's Stadium, Southampton",1,2016/17,2016-12-11
Liverpool,West Ham,2,2,draw,draw,"Anfield, Liverpool",1,2016/17,2016-12-11
Watford,Everton,3,2,Watford,Everton,"Vicarage Road, Watford",1,2016/17,2016-12-10
Arsenal,Stoke,3,1,Arsenal,Stoke,"Emirates Stadium, London",1,2016/17,2016-12-10
Burnley,Bournemouth,3,2,Burnley,Bournemouth,"Turf Moor, Burnley",1,2016/17,2016-12-10
Hull,Crystal Palace,3,3,draw,draw,"MKM Stadium, Hull",1,2016/17,2016-12-10
Swansea,Sunderland,3,0,Swansea,Sunderland,"Liberty Stadium, Swansea",1,2016/17,2016-12-10
Leicester,Man City,4,2,Leicester,Man City,"King Power Stadium, Leicester",1,2016/17,2016-12-10
Middlesbrough,Hull,1,0,Middlesbrough,Hull,"Riverside Stadium, Middlesbrough",1,2016/17,2016-12-05
Bournemouth,Liverpool,4,3,Bournemouth,Liverpool,"Vitality Stadium, Bournemouth",1,2016/17,2016-12-04
Everton,Man Utd,1,1,draw,draw,"Goodison Park, Liverpool",1,2016/17,2016-12-04
Man City,Chelsea,1,3,Chelsea,Man City,"Etihad Stadium, Manchester",1,2016/17,2016-12-03
Crystal Palace,Southampton,3,0,Crystal Palace,Southampton,"Selhurst Park, London",1,2016/17,2016-12-03
Stoke,Burnley,2,0,Stoke,Burnley,"bet365 Stadium, Stoke",1,2016/17,2016-12-03
Sunderland,Leicester,2,1,Sunderland,Leicester,"Stadium of Light, Sunderland",1,2016/17,2016-12-03
Spurs,Swansea,5,0,Spurs,Swansea,"White Hart Lane, London",1,2016/17,2016-12-03
West Brom,Watford,3,1,West Brom,Watford,"The Hawthorns, West Bromwich",1,2016/17,2016-12-03
West Ham,Arsenal,1,5,Arsenal,West Ham,"London Stadium, London",1,2016/17,2016-12-03
Watford,Stoke,0,1,Stoke,Watford,"Vicarage Road, Watford",1,2016/17,2016-11-27
Arsenal,Bournemouth,3,1,Arsenal,Bournemouth,"Emirates Stadium, London",1,2016/17,2016-11-27
Man Utd,West Ham,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2016-11-27
Southampton,Everton,1,0,Southampton,Everton,"St. Mary's Stadium, Southampton",1,2016/17,2016-11-27
Burnley,Man City,1,2,Man City,Burnley,"Turf Moor, Burnley",1,2016/17,2016-11-26
Hull,West Brom,1,1,draw,draw,"MKM Stadium, Hull",1,2016/17,2016-11-26
Leicester,Middlesbrough,2,2,draw,draw,"King Power Stadium, Leicester",1,2016/17,2016-11-26
Liverpool,Sunderland,2,0,Liverpool,Sunderland,"Anfield, Liverpool",1,2016/17,2016-11-26
Swansea,Crystal Palace,5,4,Swansea,Crystal Palace,"Liberty Stadium, Swansea",1,2016/17,2016-11-26
Chelsea,Spurs,2,1,Chelsea,Spurs,"Stamford Bridge, London",1,2016/17,2016-11-26
West Brom,Burnley,4,0,West Brom,Burnley,"The Hawthorns, West Bromwich",1,2016/17,2016-11-21
Middlesbrough,Chelsea,0,1,Chelsea,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2016-11-20
Man Utd,Arsenal,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2016-11-19
Crystal Palace,Man City,1,2,Man City,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-11-19
Everton,Swansea,1,1,draw,draw,"Goodison Park, Liverpool",1,2016/17,2016-11-19
Southampton,Liverpool,0,0,draw,draw,"St. Mary's Stadium, Southampton",1,2016/17,2016-11-19
Stoke,Bournemouth,0,1,Bournemouth,Stoke,"bet365 Stadium, Stoke",1,2016/17,2016-11-19
Sunderland,Hull,3,0,Sunderland,Hull,"Stadium of Light, Sunderland",1,2016/17,2016-11-19
Watford,Leicester,2,1,Watford,Leicester,"Vicarage Road, Watford",1,2016/17,2016-11-19
Spurs,West Ham,3,2,Spurs,West Ham,"White Hart Lane, London",1,2016/17,2016-11-19
Arsenal,Spurs,1,1,draw,draw,"Emirates Stadium, London",1,2016/17,2016-11-06
Hull,Southampton,2,1,Hull,Southampton,"MKM Stadium, Hull",1,2016/17,2016-11-06
Liverpool,Watford,6,1,Liverpool,Watford,"Anfield, Liverpool",1,2016/17,2016-11-06
Swansea,Man Utd,1,3,Man Utd,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-11-06
Leicester,West Brom,1,2,West Brom,Leicester,"King Power Stadium, Leicester",1,2016/17,2016-11-06
Bournemouth,Sunderland,1,2,Sunderland,Bournemouth,"Vitality Stadium, Bournemouth",1,2016/17,2016-11-05
Burnley,Crystal Palace,3,2,Burnley,Crystal Palace,"Turf Moor, Burnley",1,2016/17,2016-11-05
Man City,Middlesbrough,1,1,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2016-11-05
West Ham,Stoke,1,1,draw,draw,"London Stadium, London",1,2016/17,2016-11-05
Chelsea,Everton,5,0,Chelsea,Everton,"Stamford Bridge, London",1,2016/17,2016-11-05
Stoke,Swansea,3,1,Stoke,Swansea,"bet365 Stadium, Stoke",1,2016/17,2016-10-31
Everton,West Ham,2,0,Everton,West Ham,"Goodison Park, Liverpool",1,2016/17,2016-10-30
Southampton,Chelsea,0,2,Chelsea,Southampton,"St. Mary's Stadium, Southampton",1,2016/17,2016-10-30
Sunderland,Arsenal,1,4,Arsenal,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2016-10-29
Man Utd,Burnley,0,0,draw,draw,"Old Trafford, Manchester",1,2016/17,2016-10-29
Middlesbrough,Bournemouth,2,0,Middlesbrough,Bournemouth,"Riverside Stadium, Middlesbrough",1,2016/17,2016-10-29
Spurs,Leicester,1,1,draw,draw,"White Hart Lane, London",1,2016/17,2016-10-29
Watford,Hull,1,0,Watford,Hull,"Vicarage Road, Watford",1,2016/17,2016-10-29
West Brom,Man City,0,4,Man City,West Brom,"The Hawthorns, West Bromwich",1,2016/17,2016-10-29
Crystal Palace,Liverpool,2,4,Liverpool,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-10-29
Man City,Southampton,1,1,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2016-10-23
Chelsea,Man Utd,4,0,Chelsea,Man Utd,"Stamford Bridge, London",1,2016/17,2016-10-23
Bournemouth,Spurs,0,0,draw,draw,"Vitality Stadium, Bournemouth",1,2016/17,2016-10-22
Arsenal,Middlesbrough,0,0,draw,draw,"Emirates Stadium, London",1,2016/17,2016-10-22
Burnley,Everton,2,1,Burnley,Everton,"Turf Moor, Burnley",1,2016/17,2016-10-22
Hull,Stoke,0,2,Stoke,Hull,"MKM Stadium, Hull",1,2016/17,2016-10-22
Leicester,Crystal Palace,3,1,Leicester,Crystal Palace,"King Power Stadium, Leicester",1,2016/17,2016-10-22
Swansea,Watford,0,0,draw,draw,"Liberty Stadium, Swansea",1,2016/17,2016-10-22
West Ham,Sunderland,1,0,West Ham,Sunderland,"London Stadium, London",1,2016/17,2016-10-22
Liverpool,West Brom,2,1,Liverpool,West Brom,"Anfield, Liverpool",1,2016/17,2016-10-22
Liverpool,Man Utd,0,0,draw,draw,"Anfield, Liverpool",1,2016/17,2016-10-17
Middlesbrough,Watford,0,1,Watford,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2016-10-16
Southampton,Burnley,3,1,Southampton,Burnley,"St. Mary's Stadium, Southampton",1,2016/17,2016-10-16
Chelsea,Leicester,3,0,Chelsea,Leicester,"Stamford Bridge, London",1,2016/17,2016-10-15
Arsenal,Swansea,3,2,Arsenal,Swansea,"Emirates Stadium, London",1,2016/17,2016-10-15
Bournemouth,Hull,6,1,Bournemouth,Hull,"Vitality Stadium, Bournemouth",1,2016/17,2016-10-15
Man City,Everton,1,1,draw,draw,"Etihad Stadium, Manchester",1,2016/17,2016-10-15
Stoke,Sunderland,2,0,Stoke,Sunderland,"bet365 Stadium, Stoke",1,2016/17,2016-10-15
West Brom,Spurs,1,1,draw,draw,"The Hawthorns, West Bromwich",1,2016/17,2016-10-15
Crystal Palace,West Ham,0,1,West Ham,Crystal Palace,"Selhurst Park, London",1,2016/17,2016-10-15
Man Utd,Stoke,1,1,draw,draw,"Old Trafford, Manchester",1,2016/17,2016-10-02
Leicester,Southampton,0,0,draw,draw,"King Power Stadium, Leicester",1,2016/17,2016-10-02
Spurs,Man City,2,0,Spurs,Man City,"White Hart Lane, London",1,2016/17,2016-10-02
Burnley,Arsenal,0,1,Arsenal,Burnley,"Turf Moor, Burnley",1,2016/17,2016-10-02
Swansea,Liverpool,1,2,Liverpool,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-10-01
Hull,Chelsea,0,2,Chelsea,Hull,"MKM Stadium, Hull",1,2016/17,2016-10-01
Sunderland,West Brom,1,1,draw,draw,"Stadium of Light, Sunderland",1,2016/17,2016-10-01
Watford,Bournemouth,2,2,draw,draw,"Vicarage Road, Watford",1,2016/17,2016-10-01
West Ham,Middlesbrough,1,1,draw,draw,"London Stadium, London",1,2016/17,2016-10-01
Everton,Crystal Palace,1,1,draw,draw,"Goodison Park, Liverpool",1,2016/17,2016-09-30
Burnley,Watford,2,0,Burnley,Watford,"Turf Moor, Burnley",1,2016/17,2016-09-26
West Ham,Southampton,0,3,Southampton,West Ham,"London Stadium, London",1,2016/17,2016-09-25
Man Utd,Leicester,4,1,Man Utd,Leicester,"Old Trafford, Manchester",1,2016/17,2016-09-24
Bournemouth,Everton,1,0,Bournemouth,Everton,"Vitality Stadium, Bournemouth",1,2016/17,2016-09-24
Liverpool,Hull,5,1,Liverpool,Hull,"Anfield, Liverpool",1,2016/17,2016-09-24
Middlesbrough,Spurs,1,2,Spurs,Middlesbrough,"Riverside Stadium, Middlesbrough",1,2016/17,2016-09-24
Stoke,West Brom,1,1,draw,draw,"bet365 Stadium, Stoke",1,2016/17,2016-09-24
Sunderland,Crystal Palace,2,3,Crystal Palace,Sunderland,"Stadium of Light, Sunderland",1,2016/17,2016-09-24
Swansea,Man City,1,3,Man City,Swansea,"Liberty Stadium, Swansea",1,2016/17,2016-09-24
